Tank_Number,Cycle_Number,Collected,Reef,Temperature,Ramp_Started_Day_1,Colony_Number,Day,Score,Scorer_1,Scorer_2,Scorer_3,Notes,Notes2
1,6,7/19/18,40,30,,281,0,N,KCH,NSW,,,
1,6,7/19/18,40,30,,281,1,N,KCH,NSW,,,
1,6,7/19/18,40,30,,281,2,N,KCH,NSW,BHC,,
2,6,7/19/18,40,30,,281,0,N,KCH,NSW,,,
2,6,7/19/18,40,30,,281,1,V,KCH,BHC,,,
2,6,7/19/18,40,30,,281,2,V,KCH,NSW,BHC,,
3,6,7/19/18,40,33.5,,281,0,N,KCH,NSW,,,
3,6,7/19/18,40,33.5,,281,1,N,KCH,BHC,,,
3,6,7/19/18,40,33.5,,281,2,N,KCH,NSW,BHC,,
4,6,7/19/18,40,34,,281,0,N,KCH,NSW,,,
4,6,7/19/18,40,34,,281,1,V,KCH,BHC,,,
4,6,7/19/18,40,34,,281,2,N,KCH,NSW,BHC,,
5,6,7/19/18,40,34.5,,281,0,V,KCH,NSW,,,
5,6,7/19/18,40,34.5,,281,1,S,KCH,BHC,,,
5,6,7/19/18,40,34.5,,281,2,S,KCH,NSW,BHC,,
1,6,7/19/18,40,30,,282,0,V,KCH,NSW,,,
1,6,7/19/18,40,30,,282,1,N,KCH,NSW,,,
1,6,7/19/18,40,30,,282,2,V,KCH,NSW,BHC,,
2,6,7/19/18,40,30,,282,0,V,KCH,NSW,,,
2,6,7/19/18,40,30,,282,1,V,KCH,BHC,,,
2,6,7/19/18,40,30,,282,2,V,KCH,NSW,BHC,,
3,6,7/19/18,40,33.5,,282,0,V,KCH,NSW,,,
3,6,7/19/18,40,33.5,,282,1,N,KCH,BHC,,,
3,6,7/19/18,40,33.5,,282,2,N,KCH,NSW,BHC,,
4,6,7/19/18,40,34,,282,0,V,KCH,NSW,,,
4,6,7/19/18,40,34,,282,1,V,KCH,BHC,,,
4,6,7/19/18,40,34,,282,2,V,KCH,NSW,BHC,,
5,6,7/19/18,40,34.5,,282,0,V,KCH,NSW,,,
5,6,7/19/18,40,34.5,,282,1,M,KCH,BHC,,,
5,6,7/19/18,40,34.5,,282,2,T,KCH,NSW,BHC,,
1,6,7/19/18,40,30,,283,0,M,KCH,NSW,,,
1,6,7/19/18,40,30,,283,1,V,KCH,NSW,,,
1,6,7/19/18,40,30,,283,2,M,KCH,NSW,BHC,,
2,6,7/19/18,40,30,,283,0,M,KCH,NSW,,,
2,6,7/19/18,40,30,,283,1,S,KCH,BHC,,,
2,6,7/19/18,40,30,,283,2,S,KCH,NSW,BHC,,
3,6,7/19/18,40,33.5,,283,0,M,KCH,NSW,,,
3,6,7/19/18,40,33.5,,283,1,V,KCH,BHC,,,
3,6,7/19/18,40,33.5,,283,2,M,KCH,NSW,BHC,,
4,6,7/19/18,40,34,,283,0,V,KCH,NSW,,,
4,6,7/19/18,40,34,,283,1,S,KCH,BHC,,,
4,6,7/19/18,40,34,,283,2,M,KCH,NSW,BHC,,
5,6,7/19/18,40,34.5,,283,0,M,KCH,NSW,,,
5,6,7/19/18,40,34.5,,283,1,T,KCH,BHC,,,
5,6,7/19/18,40,34.5,,283,2,T,KCH,NSW,BHC,,
1,6,7/19/18,40,30,,284,0,V,KCH,NSW,,,
1,6,7/19/18,40,30,,284,1,V,KCH,NSW,,,
1,6,7/19/18,40,30,,284,2,M,KCH,NSW,BHC,,
2,6,7/19/18,40,30,,284,0,V,KCH,NSW,,,
2,6,7/19/18,40,30,,284,1,V,KCH,BHC,,,
2,6,7/19/18,40,30,,284,2,V,KCH,NSW,BHC,,
3,6,7/19/18,40,33.5,,284,0,V,KCH,NSW,,,
3,6,7/19/18,40,33.5,,284,1,N,KCH,BHC,,,
3,6,7/19/18,40,33.5,,284,2,V,KCH,NSW,BHC,,
4,6,7/19/18,40,34,,284,0,V,KCH,NSW,,,
4,6,7/19/18,40,34,,284,1,M,KCH,BHC,,,
4,6,7/19/18,40,34,,284,2,M,KCH,NSW,BHC,,
5,6,7/19/18,40,34.5,,284,0,V,KCH,NSW,,,
5,6,7/19/18,40,34.5,,284,1,M,KCH,BHC,,,
5,6,7/19/18,40,34.5,,284,2,M,KCH,NSW,BHC,,
1,6,7/19/18,40,30,,286,0,M,KCH,NSW,,,
1,6,7/19/18,40,30,,286,1,V,KCH,NSW,,,
1,6,7/19/18,40,30,,286,2,M,KCH,NSW,BHC,,
2,6,7/19/18,40,30,,286,0,V,KCH,NSW,,,
2,6,7/19/18,40,30,,286,1,V,KCH,BHC,,,
2,6,7/19/18,40,30,,286,2,V,KCH,NSW,BHC,,
3,6,7/19/18,40,33.5,,286,0,V,KCH,NSW,,,
3,6,7/19/18,40,33.5,,286,1,V,KCH,BHC,,,
3,6,7/19/18,40,33.5,,286,2,V,KCH,NSW,BHC,,
4,6,7/19/18,40,34,,286,0,M,KCH,NSW,,,
4,6,7/19/18,40,34,,286,1,S,KCH,BHC,,,
4,6,7/19/18,40,34,,286,2,M,KCH,NSW,BHC,,
5,6,7/19/18,40,34.5,,286,0,V,KCH,NSW,,,
